Date,Team,Acquired,Relinquished,Notes
2023-10-01,Suns,,• Damion Lee,placed on IL with right knee injury (out for season)
2023-10-02,Warriors,,• Draymond Green,placed on IL with sprained left ankle
2023-10-15,Pelicans,,• Naji Marshall,placed on IL with bruised right knee
2023-10-21,Hornets,,• Frank Ntilikina,placed on IL with fractured tibia in leg
2023-10-22,Grizzlies,,• Steven Adams,placed on IL with surgery on right knee (out for season)
2023-10-22,Rockets,,• Tari Eason,placed on IL
2023-10-24,Cavaliers,,• Jarrett Allen,placed on IL with bone bruise in left ankle
2023-10-24,Clippers,,• Terance Mann,placed on IL with ankle injury
2023-10-24,Grizzlies,,• Santi Aldama,placed on IL with sprained right ankle
2023-10-24,Heat,,• Josh Richardson,placed on IL with foot injury
2023-10-24,Hornets,,• Cody Martin,placed on IL with sore left knee
2023-10-24,Kings,,• Trey Lyles,placed on IL with calf injury
2023-10-24,Pelicans,,• Jose Alvarado,placed on IL with ankle injury
2023-10-24,Pistons,,• Bojan Bogdanovic,placed on IL with strained calf
2023-10-24,Pistons,,• Monte Morris,placed on IL with strained quadriceps
2023-10-24,Suns,,• Bradley Beal,placed on IL with tightness in lower back
2023-10-24,Thunder,,• Kenrich Williams,placed on IL with lower back spasms
2023-10-24,Timberwolves,,• Jaden McDaniels,placed on IL with calf injury
2023-10-24,Wizards,,• Johnny Davis (Christian),placed on IL with elbow injury
2023-10-24,Wizards,,• Landry Shamet,placed on IL with toe injury
2023-10-25,Blazers,,• Ishmail Wainright / Ish Wainright,placed on IL with strained right calf
2023-10-25,Cavaliers,,• Dean Wade,placed on IL with illness
2023-10-25,Grizzlies,,• Brandon Clarke,placed on IL with recovering from torn left Achilles tendon
2023-10-25,Hawks,,• Wesley Matthews / Wes Matthews Jr.,placed on IL with strained right calf
2023-10-25,Heat,,• Haywood Highsmith,placed on IL with sprained MCL in left knee
2023-10-25,Hornets,,• James Bouknight,placed on IL recovering from surgery on left knee
2023-10-25,Pelicans,,• Trey Murphy III,placed on IL recovering from surgery on left knee to repair meniscus
2023-10-25,Pistons,,• Isaiah Livers,placed on IL with sprained left ankle
2023-10-25,Thunder,,• Jaylin Williams (Michael),placed on IL with strained right hamstring
