player,team,mp,PTS,REB,AST,STL,BLK,TO,FGA,FTA,FG_PCT,game_date,team_score,opponent_score,TS%,TOV%
Max Strus,Cavaliers,28.28333333333333,10.0,1.0,0.0,1.0,1.0,1.0,9.0,2.0,0.444,2023-11-03,116.0,121.0,0.5060728744939271,0.0919117647058823
Evan Mobley,Cavaliers,35.85,14.0,10.0,5.0,3.0,4.0,2.0,13.0,0.0,0.538,2023-11-03,116.0,121.0,0.5384615384615384,0.1333333333333333
Jarrett Allen,Cavaliers,21.116666666666667,10.0,7.0,0.0,1.0,2.0,1.0,6.0,3.0,0.667,2023-11-03,116.0,121.0,0.6830601092896175,0.1201923076923076
Donovan Mitchell,Cavaliers,36.65,38.0,5.0,9.0,1.0,0.0,3.0,21.0,10.0,0.619,2023-11-03,116.0,121.0,0.7480314960629921,0.1056338028169014
Darius Garland,Cavaliers,31.98333333333333,14.0,0.0,6.0,2.0,1.0,4.0,11.0,4.0,0.455,2023-11-03,116.0,121.0,0.54858934169279,0.2386634844868735
Georges Niang,Cavaliers,27.133333333333333,12.0,5.0,1.0,0.0,0.0,0.0,9.0,2.0,0.444,2023-11-03,116.0,121.0,0.6072874493927125,0.0
Isaac Okoro,Cavaliers,23.016666666666666,5.0,1.0,2.0,2.0,0.0,1.0,3.0,0.0,0.667,2023-11-03,116.0,121.0,0.8333333333333334,0.25
Caris LeVert,Cavaliers,30.4,13.0,5.0,4.0,0.0,1.0,1.0,12.0,4.0,0.417,2023-11-03,116.0,121.0,0.4723837209302325,0.067750677506775
Dean Wade,Cavaliers,2.7666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023-11-03,116.0,121.0,,
Tristan Thompson,Cavaliers,2.8,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023-11-03,116.0,121.0,,
Damian Jones,Cavaliers,,,,,,,,,,,2023-11-03,116.0,121.0,,
Sam Merrill,Cavaliers,,,,,,,,,,,2023-11-03,116.0,121.0,,
Craig Porter Jr.,Cavaliers,,,,,,,,,,,2023-11-03,116.0,121.0,,
Bennedict Mathurin,Pacers,24.1,5.0,3.0,5.0,1.0,0.0,1.0,7.0,3.0,0.286,2023-11-03,121.0,116.0,0.3004807692307692,0.1072961373390558
Obi Toppin,Pacers,20.5,6.0,4.0,1.0,0.0,0.0,0.0,6.0,0.0,0.5,2023-11-03,121.0,116.0,0.5,0.0
Myles Turner,Pacers,30.616666666666667,27.0,9.0,0.0,2.0,2.0,3.0,14.0,6.0,0.643,2023-11-03,121.0,116.0,0.8112980769230769,0.1527494908350305
Bruce Brown,Pacers,37.41666666666666,19.0,7.0,2.0,0.0,0.0,2.0,15.0,0.0,0.533,2023-11-03,121.0,116.0,0.6333333333333333,0.1176470588235294
Tyrese Haliburton,Pacers,34.31666666666667,18.0,2.0,13.0,2.0,0.0,4.0,14.0,9.0,0.357,2023-11-03,121.0,116.0,0.5011135857461024,0.1821493624772313
Buddy Hield,Pacers,30.23333333333333,14.0,5.0,2.0,0.0,1.0,1.0,9.0,0.0,0.556,2023-11-03,121.0,116.0,0.7777777777777778,0.1
Andrew Nembhard,Pacers,17.933333333333334,6.0,0.0,3.0,0.0,0.0,2.0,5.0,2.0,0.4,2023-11-03,121.0,116.0,0.5102040816326531,0.2538071065989847
Jalen Smith,Pacers,17.433333333333334,13.0,5.0,2.0,0.0,1.0,3.0,8.0,0.0,0.75,2023-11-03,121.0,116.0,0.8125,0.2727272727272727
Aaron Nesmith,Pacers,27.48333333333333,13.0,5.0,0.0,2.0,1.0,2.0,8.0,4.0,0.625,2023-11-03,121.0,116.0,0.6659836065573771,0.1700680272108843
Isaiah Jackson,Pacers,,,,,,,,,,,2023-11-03,121.0,116.0,,
