GAME_ID,GAME_DATE,HOME_TEAM,AWAY_TEAM,HOME_SCORE,AWAY_SCORE
0022300001,2023-11-03,IND,CLE,121.0,116.0
0022300002,2023-11-03,MIL,NYK,110.0,105.0
0022300003,2023-11-03,MIA,WAS,121.0,114.0
0022300004,2023-11-03,CHI,BKN,107.0,109.0
0022300005,2023-11-03,OKC,GSW,139.0,141.0
0022300006,2023-11-03,DEN,DAL,125.0,114.0
0022300007,2023-11-03,POR,MEM,115.0,113.0
0022300008,2023-11-10,DET,PHI,106.0,114.0
0022300009,2023-11-10,WAS,CHA,117.0,124.0
0022300010,2023-11-10,BOS,BKN,121.0,107.0
0022300011,2023-11-10,HOU,NOP,104.0,101.0
0022300012,2023-11-10,MEM,UTA,121.0,127.0
0022300013,2023-11-10,SAS,MIN,110.0,117.0
0022300014,2023-11-10,DAL,LAC,144.0,126.0
0022300015,2023-11-10,PHX,LAL,119.0,122.0
0022300016,2023-11-10,SAC,OKC,105.0,98.0
0022300017,2023-11-14,CHA,MIA,105.0,111.0
0022300018,2023-11-14,DET,ATL,120.0,126.0
0022300019,2023-11-14,PHI,IND,126.0,132.0
0022300020,2023-11-14,BKN,ORL,124.0,104.0
0022300021,2023-11-14,OKC,SAS,123.0,87.0
0022300022,2023-11-14,NOP,DAL,131.0,110.0
0022300023,2023-11-14,UTA,POR,115.0,99.0
0022300024,2023-11-14,DEN,LAC,111.0,108.0
0022300025,2023-11-14,GSW,MIN,101.0,104.0
0022300026,2023-11-14,LAL,MEM,134.0,107.0
0022300027,2023-11-17,CHA,MIL,99.0,130.0
0022300028,2023-11-17,WAS,NYK,99.0,120.0
0022300029,2023-11-17,ATL,PHI,116.0,126.0
0022300030,2023-11-17,CLE,DET,108.0,100.0
0022300031,2023-11-17,TOR,BOS,105.0,108.0
0022300032,2023-11-17,SAS,SAC,120.0,129.0
0022300033,2023-11-17,CHI,ORL,97.0,103.0
0022300034,2023-11-17,NOP,DEN,115.0,110.0
0022300035,2023-11-17,UTA,PHX,128.0,131.0
0022300036,2023-11-17,POR,LAL,95.0,107.0
0022300037,2023-11-17,LAC,HOU,106.0,100.0
0022300038,2023-11-21,ORL,TOR,126.0,107.0
0022300039,2023-11-21,ATL,IND,152.0,157.0
0022300040,2023-11-21,PHI,CLE,119.0,122.0
0022300041,2023-11-21,PHX,POR,120.0,107.0
0022300042,2023-11-21,LAL,UTA,131.0,99.0
0022300043,2023-11-24,ORL,BOS,113.0,96.0
0022300044,2023-11-24,MEM,PHX,89.0,110.0
0022300045,2023-11-24,NYK,MIA,100.0,98.0
0022300046,2023-11-24,TOR,CHI,121.0,108.0
0022300047,2023-11-24,IND,DET,136.0,113.0
0022300048,2023-11-24,HOU,DEN,105.0,86.0
0022300049,2023-11-24,MIL,WAS,131.0,128.0
0022300050,2023-11-24,MIN,SAC,111.0,124.0
0022300051,2023-11-24,GSW,SAS,118.0,112.0
0022300052,2023-11-24,LAC,NOP,106.0,116.0
0022300053,2023-11-28,BOS,CHI,124.0,97.0
0022300054,2023-11-28,BKN,TOR,115.0,103.0
0022300055,2023-11-28,CLE,ATL,128.0,105.0
0022300056,2023-11-28,MIA,MIL,124.0,131.0
0022300057,2023-11-28,NYK,CHA,115.0,91.0
0022300058,2023-11-28,MIN,OKC,106.0,103.0
0022300059,2023-11-28,DAL,HOU,121.0,115.0
0022300060,2023-11-28,SAC,GSW,124.0,123.0
0022300061,2023-10-24,DEN,LAL,119.0,107.0
0022300062,2023-10-24,GSW,PHX,104.0,108.0
0022300063,2023-10-25,CHA,ATL,116.0,110.0
0022300064,2023-10-25,IND,WAS,143.0,120.0
0022300065,2023-10-25,NYK,BOS,104.0,108.0
0022300066,2023-10-25,ORL,HOU,116.0,86.0
0022300067,2023-10-25,BKN,CLE,113.0,114.0
0022300068,2023-10-25,MIA,DET,103.0,102.0
0022300069,2023-10-25,TOR,MIN,97.0,94.0
0022300070,2023-10-25,CHI,OKC,104.0,124.0
0022300071,2023-10-25,MEM,NOP,104.0,111.0
0022300072,2023-10-25,UTA,SAC,114.0,130.0
0022300073,2023-10-25,SAS,DAL,119.0,126.0
0022300074,2023-10-25,LAC,POR,123.0,111.0
0022300075,2023-10-26,MIL,PHI,118.0,117.0
0022300076,2023-10-26,LAL,PHX,100.0,95.0
0022300077,2023-10-27,CHA,DET,99.0,111.0
0022300078,2023-10-27,MEM,DEN,104.0,108.0
0022300079,2023-10-27,ATL,NYK,120.0,126.0
